position,score
8/8/6p1/6Bp/3p2nP/5k2/1r4R1/6K1 w - - 2 57,389
r5n1/1pp1k2p/p3p3/8/4PPpP/8/PK2N1P1/3R3R w - - 1 22,578
b5r1/4Qp1k/B2p2p1/n2P3p/4P3/1P3N1P/P2R1PPK/4q3 w - - 1 34,1121
3r4/2NP1pk1/1p3p2/5b2/R7/P7/1P1K1P1r/8 b - - 3 40,811
6rk/pp1q3p/8/3Pp3/3b3P/6Q1/PP2R1K1/1B6 b - - 2 33,1039
r4rk1/1pqRb1pp/p1p1bp2/4p3/4P3/P1N1B1P1/1nP1QPBP/3R2K1 b - - 1 19,225
5rk1/p4pp1/1q1Nn2p/2p1n2P/2P3Q1/6P1/5BB1/1b4K1 b - - 0 35,1098
4r1k1/6rp/4p3/4RpQ1/2P4P/6P1/P2pqP1K/8 b - - 5 35,1454
r3k2r/1bqn1ppp/p2p4/1p2pPB1/3Nn3/P1P1Q3/2P1B1PP/R3R1K1 b kq - 1 15,249
7k/1b6/7p/PP2N3/5pp1/3p1P1P/6P1/4K3 w - - 0 42,497
5r2/6k1/1p3pp1/2p4p/P1B2r1P/8/5nPK/2R5 b - - 1 48,627
r1bq1rk1/pp3pbp/n2p1np1/4p3/3NPB2/2N4P/PPP1BPPK/R2Q1R2 b - - 1 10,413
8/8/7K/Q7/8/8/8/1k6 b - - 10 85,-3403
1r1qnr1k/pp4p1/3p3p/1P2Np2/8/BQ1P2P1/4PP1P/R4RK1 w - - 1 24,829
3R4/5pbk/1q2r1pp/2Q5/p3p3/P4PP1/1n3N1P/6K1 b - - 1 41,979
5rk1/ppp1q1p1/8/5rP1/5NK1/3P4/PPPQ4/3R4 b - - 2 28,639
7r/3k1ppp/p2b1Bb1/N1p5/5N2/8/PP3PPP/3R2K1 w - - 1 22,519
4rb1k/r2q1pnp/6p1/p1pNP1N1/2P2RP1/7P/2Q2P2/3R2K1 w - - 5 31,459
3r4/5ppp/2R5/p2kp3/Br6/6P1/5P1P/6K1 b - - 3 37,508
2k5/2p5/8/5qP1/p7/P7/1P6/K1Q5 w - - 5 65,127
6k1/R6p/3p2p1/3P4/2q1r1P1/8/p5Q1/K7 b - - 9 38,703
1r5k/3r2pp/1NR2pq1/8/3pP3/PP1P2PP/4QP1K/3R4 w - - 1 39,875
5r1k/pN5p/5ppP/4Q3/3pP3/3P4/PPr2PqB/4K3 b - - 2 35,99998
8/2N5/3k1ppp/3P4/2p5/2b5/8/5K2 w - - 0 69,-300
1qb1nrk1/2Qp1p1p/2n3p1/2N1pN2/1p2P3/6P1/1PP2PBP/4R1K1 b - - 3 22,638
2QR4/5pbk/1q2r1pp/8/p3p3/P4PP1/1n3NKP/8 b - - 1 41,641
3r1b2/1k2qp2/p5p1/2Q3P1/4P3/P5Bp/7P/7K b - - 2 33,99997
1r2rk2/2R2pp1/8/1p4P1/p3BP1Q/3P4/4P1K1/q6R w - - 3 33,99999
8/8/6k1/8/8/7K/8/8 w - - 1 55,-3
4qrk1/7p/p1p2p2/1pN2n2/1PnP1NpP/P1Q3P1/5PBK/4R3 w - - 5 32,569
3k4/5R2/1p6/1Pr1Q3/8/3P4/1K6/8 b - - 8 48,-21
r4rk1/1q2b1pp/5p2/p1pPP3/PpB1P3/1P2B1Pb/2Q4P/R1R3K1 w - - 1 31,371
r1bq1rk1/ppp1ppbp/6p1/n7/2BPP3/2BQ4/PP2NPPP/R3K2R b KQ - 6 10,-1
r4rk1/ppn1p2p/2p3p1/6n1/2PR4/2N3bq/PPQ1BB2/5RK1 b - - 1 22,99999
8/pb6/1p3r1k/R6p/8/7P/P7/6K1 b - - 1 38,706
5rk1/ppp1q1p1/8/Q4rP1/5NK1/3P4/PPP5/5R2 b - - 2 28,1542
5rk1/BPb4p/6p1/1B6/P1bNP3/6P1/1r5P/2R3K1 w - - 9 36,577
r3r1k1/1p3ppp/1q1B4/n1p2P2/p1Ppb1Pb/P4Q2/1P4BP/1R3RK1 b - - 1 22,1103
8/6Kp/6p1/2kp1P2/6r1/6PP/8/8 b - - 0 57,439
2b2kr1/ppp1rq2/3pPp1p/3N1P2/5Q2/1P6/P1P3PP/4RRK1 w - - 2 25,2789
5R2/p2r2kp/2p5/1p6/3b1p2/4R3/P4KPP/8 b - - 1 35,829
2r3k1/7p/8/6b1/P2N3P/2B5/bP4P1/R6K w - - 3 32,588
6k1/7p/3p2p1/3P4/R1q1r1P1/8/p2Q4/K7 b - - 9 38,745
8/8/7p/1p4pP/p1p2kP1/P1P1p3/1P1rR3/6K1 b - - 3 57,507
r1nq1r1k/1pR3p1/p6p/1b1P4/5p2/P1Q1PB2/1P1N1PPP/2R3K1 w - - 0 26,99999
8/7p/6p1/p1RQ4/P4Pk1/2p3P1/8/6K1 b - - 7 51,-674
3r4/1p3Bbk/1Q5p/p3p1p1/8/7P/PP4P1/1K2R3 w - - 0 29,1015
8/r7/6p1/2B3k1/3P1RP1/2P3K1/1P6/3R4 w - - 1 53,1317
1r6/1R3p2/1p3k1p/p1b2p1P/P1B2P2/5K2/8/8 w - - 14 39,99999
3r4/p5p1/Pp3k2/3p4/3R3P/3R1P2/4p1PK/2r5 b - - 1 34,866
3q1b1k/8/p2n2QP/1p4P1/5B2/8/P5B1/7K w - - 1 48,99997
8/1B3p2/P2kp3/1n6/8/5K2/5P2/8 w - - 1 54,21
7r/pp1n2k1/2p2q2/PP6/2B1P3/2N2nPQ/5P2/7K b - - 0 32,1034
8/5p1k/1p1P1qp1/2p1Q2p/3nR3/7P/P4RP1/6K1 w - - 1 34,1084
1r6/pp6/nk1b3R/2p3B1/5PP1/7K/P5q1/8 w - - 1 52,-252
6rk/3p1Rpp/p7/1b6/1p5P/6R1/2P2PPK/5q2 b - - 0 33,535
r3k2r/1bqn1ppp/p2p4/1p2pPB1/3Nn3/P1P1Q3/2P1B1PP/R2R2K1 b kq - 1 15,313
2R5/7k/1qn2rpp/4p3/2P5/3P2P1/8/4Q2K b - - 3 48,421
3r1k2/1pq2p2/p5pN/P2p4/2bN4/8/1PP3P1/4rQK1 b - - 3 31,99999
r1nn1B2/p2k1pp1/3qp2p/3pP2P/2pP1QP1/2P2N2/PR3P2/1R4K1 w - - 1 24,1217
2r3k1/2p5/1p1b2p1/3q1p2/8/2Q5/1B4PP/1R3R1K w - - 3 29,99999
r4rk1/1p3p1p/p2p2P1/5P2/5p2/qPb5/P1P5/1K1R1BR1 b - - 1 27,99999
7k/pp3p1p/1B4p1/8/2R5/3r1P1P/PP3P2/5RK1 w - - 1 25,838
r1R3k1/pb5p/1p2ppp1/8/5n2/5qPQ/1B3P1P/4R1K1 b - - 7 36,307
3k4/5R2/1p6/1Pr5/8/2QP4/8/1K6 b - - 8 48,-4
rn1qk1nr/pbppppbp/1p6/8/1P6/2N5/P1PPPPPP/R2QKBNR b KQkq - 1 4,481
3r3R/pk3p2/1n6/1p3N2/8/b2P2P1/P3PP1P/6K1 w - - 0 32,425
rn4k1/pb4pp/1pp2r2/1P1p1N2/2P4q/P3PB1P/5PP1/R2Q1RK1 w - - 1 22,763
8/5k2/2R5/3N1p1r/8/6b1/6K1/8 w - - 2 75,-5
5rk1/BPb4p/6p1/1B1b4/P2NP3/6P1/1r5P/2R3K1 w - - 9 36,560
8/4k3/B5pp/4K3/b6P/1p2p1P1/8/8 b - - 1 42,453
6k1/1r3pp1/Q3p1p1/3n4/bB6/P6P/5PP1/6K1 w - - 4 44,485
5r2/5p2/p3b1kr/8/2P2QP1/8/1P3P2/2KR4 w - - 1 32,732
8/1PBr1p2/4p3/4P2k/1K1R3P/1b6/8/8 w - - 1 65,411
2R5/1p3p1k/1p2P1p1/8/4QPPq/8/rP6/6K1 b - - 0 31,213
rnb2bnr/pp1kpppp/2p5/3p4/6P1/4P2P/RPPP1PB1/1NBQK1NR w K - 1 6,857
2b2rk1/pp2Q1pp/2p2p2/q7/1PP5/6P1/P4PBP/3R2K1 w - - 0 22,601
r6r/2k2pp1/1n1p2b1/pp2p1Pp/7P/1B6/P1P1NP2/3R1RK1 b - - 1 25,278
7k/1Q3p2/4q1p1/1p2b1N1/1Pp3P1/P5P1/5PK1/8 w - - 1 53,510
2k5/2P5/5p2/1r4pp/N7/4rP2/3R1KPB/8 w - - 2 52,1310
r5k1/pb5p/1p2ppp1/8/5n2/5qP1/1B3P1P/2R1RQK1 b - - 7 36,99999
1r2r1k1/p4ppp/1p6/7q/3RQ3/1PN1n1PP/PB3P2/2R3K1 w - - 1 25,346
r1b1k1r1/1p3p2/p2Q1B1p/8/3n4/2N3P1/P1P1B2P/4K2R w K - 1 26,99999
r1b1k1r1/ppqppp1p/5n2/2p5/3nP2P/2NP4/PPP1BKP1/1RbQ3R b q - 1 13,1542
6R1/6kp/6p1/2pQ4/1p2P3/4q2P/P5PK/5r2 b - - 22 45,130
6r1/4Qp1k/B1bp2p1/n2P3p/4P3/1P3N1P/P2R1PPK/2q5 w - - 1 34,1039
2Rr2k1/b2bpp1p/p2p2p1/1p1P4/1P2P3/7P/P2Q1PP1/3R2K1 w - - 1 23,1002
8/2p3pk/1p1p3p/1Pr1QP2/6P1/6K1/7P/8 b - - 0 49,482
2kr1qnr/1bpp2pp/pp2p3/1Nb1P3/2PN1B2/PP1B2P1/2Q4P/2KR4 b - - 0 17,391
8/6pk/2q5/7p/5P2/6rP/5QP1/4R2K w - - 1 48,442
r2qk2r/pp1n1pp1/2pbbn2/3p2p1/2BP4/2N1P3/PPQ1NPPP/R3K2R b KQkq - 5 11,717
2r3k1/7p/ppNB4/3P1pp1/2n5/2P2P1P/P4PK1/2R5 w - - 0 34,761
1rr4k/ppqb1B1p/3b4/2p1p2Q/2Np4/3P4/PPP3PP/R4R1K w - - 1 18,299
1r5r/q2Q1pkp/4nNp1/p1p1P3/5P2/1P4P1/P5BP/4RRK1 w - - 1 24,1002
7k/q5b1/1r5p/PP2p3/3p4/3B2PP/R3QP1K/8 w - - 3 43,507
8/5pkp/p1p2p2/3b4/1b1N4/2P3P1/P4PP1/R3R1K1 w - - 1 25,866
4qr1k/7p/p1p2p1n/1pN5/1PnP1NpP/P1Q3P1/5PBK/4R3 w - - 5 32,601
2rq1rk1/5ppb/4pn1p/3pN3/1bN5/3pP1P1/2P2PBP/R1Q1R1K1 b - - 1 23,539
3R4/8/8/8/1p2K3/1k6/8/3r4 b - - 2 67,835
2rq1rk1/5ppb/4pn1p/3p4/1b4N1/3pP1P1/2PN1PBP/R1Q1R1K1 b - - 1 23,575
8/5pkp/2p2p2/p1bb4/3N4/2P3P1/P4PP1/R3R1K1 w - - 0 25,651
r1bq1rk1/1p1nbppp/2N1p3/p2p4/P4B2/1Pp3PP/Q4PB1/R4RK1 b - - 1 18,685
1rq3k1/1pp2pp1/p7/2NrRbP1/7Q/8/PP3P2/3R2K1 w - - 0 34,504
r1br1bk1/5ppp/3p4/4pNPP/4P3/Pp2QP2/1Pq5/K2RB2R b - - 4 29,99998
3kr3/p2b1pp1/8/8/5bp1/1P1Bn3/PR1K2PP/7R b - - 1 25,704
2r4k/pp4bp/6p1/3rp3/2Q5/1KN3q1/PPP3P1/7R b - - 1 27,738
1k6/pp4Pb/3r4/8/2Pq2P1/bP1B3P/P1Q5/1K1RB3 w - - 1 42,328
2r3k1/5p1p/5np1/3p4/3P3P/3BP3/1p3PP1/5NK1 b - - 2 35,548
8/8/8/p5k1/PpPp2P1/1P1K4/3r3q/8 w - - 2 67,-700
r3k1nr/1b2bpBp/p1p5/1p6/4P3/2N3P1/PPP2PBP/R4RK1 w k - 1 16,579
8/5pk1/R3p3/3pP1p1/3n2P1/2rB2KP/8/8 b - - 7 32,557
6k1/1Q3p2/p4q1p/6p1/P2r4/5P2/6PP/2R2BK1 w - - 1 33,471
b4r1k/p3n1b1/1p1BQ2p/5pp1/8/P2BqP2/1P4PP/R4R1K w - - 3 25,811
2rq1rk1/1n4pp/p4p2/1P1Pp3/8/1P2B1PP/4NPB1/2R1bK2 b - - 1 22,642
3rk2q/pp1b2p1/3Qpb2/Bp6/4P3/8/PPP4P/2KR3R w - - 2 21,569
b7/7p/R2N2k1/2P5/2P5/2r5/P6P/6K1 w - - 3 36,628
3r2k1/p1p3pp/2p5/1p5R/6b1/2N5/PP3PPP/2K5 b - - 1 21,527
5B1k/p4p1p/1p6/5p2/3PpR2/4P1QP/P5PK/7q w - - 3 34,907
3rr1k1/4pRb1/p3p1Q1/3Pp3/2P5/7P/P2q2P1/2R4K w - - 2 27,99999
1n1Q4/p2P1k2/3K2R1/1pp2Bp1/P7/2P5/8/8 w - - 0 52,99999
1rr2k2/7p/b3pq1P/p2p1p2/8/P4RP1/5P2/R2Q2K1 w - - 2 32,-415
3r2kr/p1n2p1p/1pq3p1/8/1P2P3/P1Q2P2/6PP/5RK1 b - - 1 26,966
r3k2r/1bqn1ppp/p2p4/1p2pPB1/4n3/PNP1Q3/2P1B1PP/R4RK1 b kq - 1 15,230
2r1k1r1/1b6/pq1pB1p1/6bP/2n1PB2/pN4R1/K1P1Q3/1N1R4 w - - 1 29,716
8/7p/6p1/p1R5/PQ3Pk1/2p3P1/8/6K1 b - - 7 51,-370
1r1r2k1/p3qppp/2N2n2/1B1np3/P2P4/5NP1/4QP1P/2RR2K1 w - - 0 24,747
5k2/1p2b1p1/p3qp2/2B4p/1P2p3/P7/2Q2PPP/3R2K1 w - - 0 28,666
8/4Q2n/p2N2pk/4P3/4q2p/P6P/6P1/7K w - - 6 43,615
2r2bk1/6pp/p4p2/1p1P2N1/1PpR2qP/P3r1P1/5P2/3R2K1 b - - 1 37,697
2kr1qnr/1bpp2pp/pp2p3/1Nb1P3/2PN1B2/P2B2P1/1PQ4P/2K1R3 b - - 2 17,298
7r/pp1kr1p1/2pbp3/2qb3P/7P/1BB3Q1/P4P2/3R1K2 b - - 9 30,1062
5q1k/p2rr1pp/1pR5/3p1p2/Q6P/1P3BP1/P2RPP2/6K1 w - - 1 25,562
3r4/8/5kNp/p4ppq/PQp1p3/2n1P1P1/2Pr1P2/2R2RK1 b - - 0 42,957
3b4/5r1k/3ppn1p/2p1p1pq/4P2N/2PP2PP/1P3PKN/4QR2 b - - 1 45,346
5r2/p1b3k1/6pp/4r3/P1B3P1/5Q1q/1P3P2/3R2K1 b - - 0 31,1157
3r4/p5p1/Pp3k2/3p4/5R1P/3R1P2/4p1PK/2r5 b - - 1 34,334
8/5p2/4N1R1/p2kp3/1p6/7K/PP6/8 b - - 0 55,5
r3r1k1/pp3p1p/2pP1qpP/4nb2/2P1NQ2/2B5/PPB5/1K1R3R w - - 4 32,1321
r3r1k1/2qb1p1p/1ppp1np1/p2Pp3/N1P1P3/PP1nB1PP/3N1PB1/R2Q1RK1 b - - 2 17,-543
2r3k1/5p1p/5np1/3p4/3PB2P/4P3/1p3PP1/5NK1 b - - 2 35,587
8/8/3Q4/3p1B2/3k2P1/7P/PP3n2/5K2 b - - 1 57,-622
2r5/3rkpp1/8/2R1p3/2Q4N/6Pq/PP2PP1P/2K4R w - - 3 23,1066
8/8/1B3b2/3k3p/1p3PP1/p2K3P/8/8 b - - 1 47,411
4k1nr/b2n1ppp/2N1p3/3P4/2P5/1K1b3P/P2B1PP1/q2r3R b k - 1 22,3007
2rq2k1/p2b2pp/1p6/nB1p4/Q2P2pb/2N1P1N1/PP3r1P/1K1R3R b - - 7 21,157
2b1r2k/1p3pp1/8/1PPp3P/3P1P2/r2B4/5K2/2B5 b - - 1 34,698
3r4/2q2pkp/2pN1np1/2P5/2b5/P1Q2N1P/1P3PP1/3R2K1 w - - 1 33,457
n1qr1rk1/pp3pbp/2n4B/8/8/2pB2QP/PP3PP1/R3R1K1 w - - 2 22,99999
4r1k1/1pq2pp1/2p4p/p1b1p3/2P1b3/PP4PP/1B1QPP2/3R2K1 b - - 0 22,295
8/1N2k1p1/5n1p/8/3P4/4K2P/P5P1/8 w - - 7 43,355
6k1/1ppb4/p2p1p2/3P2P1/1P5p/P4r1P/7K/2Q1Bq2 b - - 1 35,99999
r4qk1/1b3p2/1B4r1/pn1p2R1/1n6/1Q4P1/P6P/2R3K1 b - - 4 30,752
r1bq3r/pppk1pb1/5n1p/3PP1Bp/2N5/2P3P1/PP3PB1/R2QK1N1 w Q - 0 16,676
3r4/5P2/5P2/1k3P2/n7/2p3P1/1p6/1R4K1 b - - 1 38,536
rr4k1/p1q3b1/5npp/2NPp2n/1P6/4B1PP/P4P2/R2QRBK1 w - - 3 23,527
r2qkb1r/1bpp2pp/np6/p2Pp2n/2P1Pp2/P1N2P1N/1P1K2PP/1RBQ1B1R b kq - 3 10,8
5r1k/pbp2pb1/1p2p1pp/3rP3/4B3/6B1/P3qPPP/R1R3K1 b - - 1 21,920
3kn3/1pp3pp/6n1/p2b4/8/1P5B/P6P/2K5 b - - 0 27,693
8/r7/4k1p1/6Pp/7P/5K2/8/8 b - - 1 65,634
8/8/8/6p1/5p1p/5PPP/3k4/5K2 b - - 0 67,414
3Q4/8/5ppk/3p3p/3P1P2/4P1K1/8/6q1 w - - 16 53,-49
2kr4/p7/1pP4r/5pRn/3q3Q/2K5/P4B2/8 w - - 0 43,135
r3k2r/1bqn1ppp/p2p4/1p2pPB1/3Nn3/P1P1Q3/2P1BRPP/R5K1 b kq - 1 15,363
8/8/7p/2P1R3/1k6/8/6K1/B7 w - - 1 49,587
8/8/8/8/4K3/8/8/7k b - - 1 60,3
b5r1/4Qp1k/B2p2p1/n2P3p/4P3/1P3N1P/P2R1PPK/5q2 w - - 1 34,1071
8/8/5Q1p/1P3K2/6p1/6P1/1P4kP/8 b - - 2 68,-606
5r1k/pN5p/2Q2ppP/8/3pP3/3P4/PPr2PqB/4K3 b - - 2 35,99998
8/8/1p2k3/1P6/4K3/8/8/8 b - - 15 69,-3
r4k2/7R/pp3Np1/2p1pn2/5b2/P6P/1PP2P2/3R3K w - - 0 28,471
2rq1rk1/5ppb/4pn1p/3pN3/1b2B3/3pP1P1/2PN1P1P/R1Q1R1K1 b - - 1 23,604
3Q4/5pkp/5np1/1B1p4/1b6/4P2P/5PP1/3R2K1 w - - 3 41,763
8/1R6/k7/b7/r7/N6P/K7/8 b - - 5 56,343
4k3/3n1p2/r1p1p2B/1PP3b1/P2N4/6PP/4RP2/6K1 w - - 1 41,480
4rbk1/pp1n2pb/2p1rp1p/1P1pP3/3P1BP1/P1q4P/5P2/R2QRBK1 b - - 0 24,283
8/7p/6pK/2kp1P2/6r1/6P1/7P/8 b - - 8 57,485
5r1k/pb2n1b1/1p1BQ2p/2q2pp1/8/P2B1P2/1P4PP/R4R1K w - - 3 25,697
r1bqk2r/pp1n2bp/3Qp1p1/2p1P3/2P3nB/2N2N2/PP4PP/R3KB1R b KQkq - 3 13,-153
2r2rk1/1pq1bppp/p2p1n2/3Pp3/1Pp1P2P/P1P3PB/1Q1N1P1K/4N3 b - - 2 24,622
8/1K6/4r3/8/8/8/4k3/8 w - - 6 72,-523
3krr2/1b2Rp1p/p2p1qp1/2pP4/1p6/5N2/4QPP1/3R1K2 b - - 1 27,756
2k5/8/2b5/P7/Q4K2/8/8/8 b - - 2 81,-66
5k2/p4ppp/1p1rpb2/7R/5B2/8/Pr3PPP/3R2K1 b - - 1 23,99999
5k2/6p1/5r2/3R4/4B3/1P4pP/5bP1/7K b - - 5 55,18
2b2rk1/1p2Qppp/p1p5/q7/1PP5/6P1/P4PBP/3R2K1 w - - 0 22,615
5r1k/1Q1pb1pp/1p2pn1q/p4p2/1PB5/P3P3/1BP2PPP/1R3RK1 w - - 0 21,579
3rr3/1k2bqp1/1nn5/1Np2Q2/5B2/1P1P2P1/P4P1P/6K1 b - - 1 26,1335
2r2rk1/1pq1bppp/p2p1n2/3Pp3/1Pp1PP1P/P1P3PB/2QN3K/4N3 b - - 0 24,614
3rrbk1/5ppp/2p4q/1p2pQ2/4P3/5RPP/2P2P2/1N4K1 b - - 1 29,612
r1bq1rk1/pp3pbp/n2p1np1/4p3/4PB2/2N2N1P/PPP1BPP1/R2Q1RK1 b - - 1 10,421
6k1/pr4pp/1p3p2/2p5/5P2/2Br2P1/PP5P/R4RK1 w - - 0 25,384
8/5pk1/4p3/3pP1p1/3n2P1/R1rB2KP/8/8 b - - 7 32,396
1b2nrk1/3rq2p/pN4p1/3b4/1p1Pp2Q/1P2P3/PB2BP1P/R3K2R w KQ - 2 25,521
6k1/5p1p/1q3np1/Q7/3p4/4rP1P/6PK/3R4 b - - 3 37,633
8/8/6pk/5r2/6K1/8/R7/8 w - - 11 66,-3
r1bqk1nr/pp3p1p/2pp2p1/6B1/3QP3/3B4/PP3PPP/RN3RK1 w kq - 3 12,975
8/4P2p/6p1/5p2/P4P2/1k4PK/4q2P/4b3 w - - 5 59,-615
2k5/8/2p3q1/6P1/p7/P7/1P6/K1Q5 w - - 0 65,148
8/5k2/3P4/8/8/2K3p1/8/8 b - - 1 58,503
3Q4/4rpk1/p1b2n2/1r5p/2p2Pp1/4q1P1/P4N1P/3R1RK1 b - - 1 35,520
r2q1rk1/pb2bppp/5B2/5P2/Q7/2N2p2/PP4PP/R4R1K b - - 1 24,843
8/8/1K4p1/2p5/P1P5/5k2/8/8 w - - 1 49,522
r1b1r1k1/1p1n1p1p/p2p2p1/2pP3n/P1P2P2/7P/3Nq1PB/R2Q1R1K b - - 0 18,478
8/R2r2kp/2p5/1p6/3b1p2/4R3/P4KPP/8 b - - 0 35,802
r2qkb1r/1bpp2pp/np1P4/p3p2n/2P1Pp2/P1N2P1N/1P4PP/1RBQKB1R b Kkq - 0 10,134
8/4k3/1p3pbp/N7/p5p1/6P1/5bK1/8 b - - 1 53,639
8/5pk1/4p3/3pP1p1/3n2P1/2rB2KP/R7/8 b - - 7 32,554
6k1/5rp1/3Q1q1p/p4p2/R7/PPb3P1/4PP1P/3R2K1 w - - 1 29,576
5rk1/7p/3q2p1/P2p4/3b4/1Q3B1P/1P4P1/4K3 b - - 0 37,552
2r5/2rnbp1k/R1b1p1pp/3pP3/3P3P/3B1NN1/1Q3PP1/R5K1 w - - 1 30,810
3Q4/p4p1p/6p1/8/2k5/6P1/n4P1P/6K1 w - - 1 40,600
r5k1/pp4pp/8/3p4/3P1Bbr/b2B1R1P/3K4/4R3 b - - 1 26,1016
3r2k1/2q2pp1/p1nNp2p/8/P4Q2/3n1NP1/1P3PP1/3R2K1 b - - 9 28,592
2rNn1k1/n4r1p/1p3pp1/p1p1N3/8/P2PPQP1/1P3P1P/3R1RK1 w - - 1 31,1180
8/8/7K/8/8/4Q3/8/1k6 b - - 10 85,-3399
8/6p1/4Kpk1/4p3/1R5P/5rp1/8/8 b - - 1 43,450
5r1k/pQ1pb1pp/1p2pn2/5p1q/1PB5/P3P3/1BP2PPP/1R3RK1 w - - 1 21,532
2k1r2r/p1b4q/P3p3/1p1p1N2/1Pp2n2/2P3N1/6Q1/R4RK1 b - - 1 34,1066
8/2R3pp/p6k/8/5B2/1K5P/6r1/3r4 b - - 3 50,410
8/8/8/8/2kbKN2/8/8/8 b - - 1 66,-3
3rr3/1k2bqpQ/1nnN4/2p5/5B2/1P1P2P1/P4P1P/6K1 b - - 1 26,1034
8/p1r1kpp1/1p1R3p/P2Bn3/2P3P1/2P1P2P/8/6K1 b - - 0 31,367
1k1r4/p1ppR1p1/bp1q2B1/5P1P/2n2QP1/5PK1/P7/8 w - - 4 41,178
rn4k1/pp2bppp/4B3/q1p5/4P3/2Pr1N2/P3QPPP/1RB2RK1 w - - 1 15,699
3rq1k1/1p5p/5Qp1/2Pp1b2/p7/2P1BN1P/PP3PP1/R5K1 w - - 1 25,609
7k/pp2Q3/3P4/4p1np/4q3/1BPP4/PP3R1P/7K w - - 2 35,1221
rn1qk2r/pp3ppp/2p2n2/3pN3/3PNP2/8/PP3PPP/R2bKB1R b KQkq - 1 10,1053
8/8/5k2/6pp/7P/6P1/5KB1/3b4 w - - 2 55,-5
1r2rk2/2R2pp1/8/1p4P1/p3qP1Q/3P4/4P1K1/7R w - - 0 33,528
8/3rbkp1/4ppp1/8/1p2NP1P/1P2nKP1/1P1R1B2/2R5 w - - 1 48,939
8/4k3/5p2/3R4/3PK3/8/8/8 w - - 3 96,524
8/5k1p/2r1r1p1/2P2Q2/8/7P/6PK/8 b - - 4 53,628
r3r1k1/5pbp/1np1P1p1/1p6/nP2P3/PQ6/1B3PPP/3RRBK1 w - - 1 28,984
2r3k1/7p/4b3/8/P2N3P/2B1b3/1P4P1/R6K w - - 3 32,544
r5k1/2p5/1p1b2p1/5p2/8/1qQ5/1B4PP/1R3R1K w - - 3 29,99999
4r1k1/1p3pp1/p1B1n2p/2q5/7P/1P4K1/P7/8 b - - 3 39,1048
8/4R3/5pk1/p5p1/8/4PP2/P3KP1r/8 w - - 0 41,99
r5k1/1p3pp1/r7/1p2Pn2/1Pp1qP1p/2Pp1R1P/P2Q2P1/R5K1 b - - 1 36,606
8/4ppkp/3p2p1/2p5/1p2PPb1/NP1P3P/n1PN2P1/q1Q1K3 b - - 2 28,861
6k1/1r3pp1/Q3p1p1/7n/bB6/P6P/5PP1/6K1 w - - 4 44,510
3r2k1/pb3ppp/1p2pn2/3PN3/3P4/qP1B2P1/P3QP1P/2r1R1K1 b - - 0 20,515
3q2k1/5rp1/3Q3p/p4p2/R7/PP4P1/1b2PP1P/3R2K1 w - - 1 29,815
5rk1/6pp/1p6/6P1/p6P/4KN2/3n1p2/2R5 b - - 1 41,744
r2qk2r/pp1n1pp1/2pbbnB1/3p2p1/3P4/2N1P3/PPQ1NPPP/R3K2R b KQkq - 5 11,559
3r2k1/pb3ppp/1p2pn2/3PN3/3P2P1/qP1B4/P3QP1P/2r1R1K1 b - - 0 20,520
r7/1p2k2p/p1p1pn2/8/4PPpP/8/PK2N1P1/3R3R w - - 0 22,477
6r1/3nk3/p2pn1P1/3Bp3/1PP5/6K1/P2B4/R7 b - - 2 39,-32
2r3k1/5ppp/4p3/p3qQb1/P7/3r3P/5PP1/5RK1 b - - 1 32,1098
6n1/2p4k/1p3p1p/B3pP1P/p2b2P1/P2P4/1r3PR1/4K3 b - - 1 39,485
3r1bk1/pp4pp/5n2/P1p5/3pR1P1/7P/1PPB4/4R1K1 w - - 13 31,206
2kr3r/pp1b1p1Q/4p2P/3p4/3n1P2/P3q2R/2P1N1P1/R3KB2 w Q - 3 19,396
2r3k1/pp3ppp/8/8/6n1/P1NqQ3/1P4PP/R5KR b - - 2 22,757
4r1k1/5pp1/7p/8/P1QqR3/5N1P/1R3PPK/3r4 w - - 3 32,1180
4r2k/r3bpnp/2q3p1/p1pNP1N1/2P2RP1/7P/2Q2P2/3R2K1 w - - 5 31,339
5k2/1p2b1pp/p2q1p2/2B5/1P2p3/P7/2Q2PPP/3R2K1 w - - 2 28,701
r1bq1rk1/1p1nbppp/4p3/p2pN3/P4B2/1Pp3PP/Q4PB1/4RRK1 b - - 1 18,434
4Qb1k/3R1p2/2N3p1/1r5p/7P/6PK/8/8 w - - 1 51,99998
8/7p/6p1/p1R2P2/P3Q1k1/2p3P1/8/6K1 b - - 0 51,-792
2R5/1p3p1k/1p4p1/4P3/5PPq/8/rP6/1Q4K1 b - - 1 31,260
2k5/8/2b5/P7/4QK2/8/8/8 b - - 2 81,-65
2rq2k1/p2b2pp/Bp6/n2p4/1Q1P2pb/2N1P1N1/PP3r1P/1K1R3R b - - 7 21,125
6k1/P4pp1/7p/2p1p3/1nN1P3/5P2/1K4PP/R2r4 w - - 1 33,888
8/8/8/K1NQ4/8/5b2/P3k3/8 b - - 8 67,-25
8/8/8/1R3p1k/5p2/5P1P/r7/6K1 w - - 9 57,-4
1nbqk2r/2p2p2/p3p1p1/2Q3Pp/2p5/2N5/PPP2PP1/R3K1NR w KQk - 3 16,594
