position,score
8/7p/5Bp1/b2k1p2/2pP4/5P1P/2K3P1/8 w - - 16 49,-37
r1br2k1/1p3pbp/p1nppnp1/q1N5/2P1P3/2N1B1PP/PP3PB1/R2Q1RK1 b - - 5 13,411
7k/1p1bR3/5q2/p1p1B1p1/2Bp4/P5P1/1PPN1P1r/2K5 w - - 5 28,99999
4r3/1R3p2/1p3k1p/p1b2p1P/P1B2P2/5K2/8/8 w - - 14 39,99999
6N1/p2bkp2/1p4p1/5PP1/4P1P1/P7/8/6K1 b - - 2 40,-46
2R5/8/8/4K3/1p6/1k6/8/3r4 b - - 2 67,405
r4k2/2p5/1p1b2p1/3q1p2/8/2Q5/1B4PP/1R3R1K w - - 3 29,609
6k1/ppp3pp/3p4/3P4/4p3/P1B2r1b/1P5P/3R2K1 b - - 1 29,470
2kr1qnr/1bpp2pp/pp2p3/1Nb1PB2/2PN1B2/P5P1/1PQ4P/2KR4 b - - 2 17,433
6k1/1b3pp1/4p2p/pp1rP2P/4PPQ1/1P4R1/2r3P1/6K1 w - - 2 30,99999
8/6p1/6kp/1p6/3PP3/3rN2P/5PK1/5R2 w - - 2 43,451
1rq3k1/3n1pp1/1rp1p2p/3Q4/1PR1P3/p7/P4PPP/1R4K1 b - - 1 26,710
8/5pkp/1n2p3/2p1Pn2/2P4Q/6P1/8/1q3NK1 b - - 9 40,638
7k/1q4b1/5r1p/PP2p3/3p4/3B2PP/R3QP1K/8 w - - 3 43,488
6k1/4Q3/6pp/8/3P2P1/4K3/pq5P/8 b - - 0 47,720
3r3r/6kp/p3pb2/1pn2pp1/1Rp5/P1N2B2/5PPP/3R2K1 b - - 7 27,598
3r2k1/6p1/p4p2/1p5p/5n2/5P2/5P1P/B1RrR1K1 w - - 0 39,354
6k1/1p3p1p/1B4p1/p7/2R5/3r1P1P/PP3P2/5RK1 w - - 0 25,684
4k3/3n1p2/2p1pb1B/rPP5/P2N4/6PP/4RP2/6K1 w - - 1 41,447
8/4k2p/7R/3p2P1/3Pp2P/4P3/5PK1/7r w - - 5 49,645
8/8/8/6P1/5R2/8/2rk1PKP/8 w - - 3 62,650
r4rk1/ppqbppbp/3p2p1/8/2P1P1PP/1N1BnK2/PP1Q4/R6R b - - 1 16,679
1r1r2k1/4qppp/p1N1pn2/1B1n4/P2P4/5NP1/4QP1P/2RR2K1 w - - 0 24,701
r1b2rk1/pp2bppp/5n2/3pN2q/1P3B2/P3P1P1/2Q2P1P/2RR1BK1 b - - 9 25,-92
8/r3bkp1/4ppp1/3n4/1p2NP1P/1P3KP1/1P1R1B2/2R5 w - - 1 48,820
2rq2k1/p2b2pp/Bp6/n2p4/3P2pb/1QN1P1N1/PP3r1P/1K1R3R b - - 7 21,610
2r2rk1/pp1q2pb/2n4p/2Q4P/P3pp1N/8/1PP3BK/8 b - - 0 29,1174
3r1rk1/pp3pbp/1nn1q2B/8/8/2pB2QP/PP3PP1/R3R1K1 w - - 2 22,99999
r3kb1r/1p1n1pp1/p1p1pn1p/3p4/2P5/1PNPBNPb/1P2PP1P/R3R1K1 b kq - 1 12,546
8/2R4k/1qn2rpp/4p3/2P5/3P2P1/8/3Q3K b - - 3 48,638
8/2b4p/1pp5/2Pk2p1/1PN1pP2/1K5P/6P1/8 w - - 0 41,239
1r1r3k/6pp/1NR2p2/8/3pP1q1/PP1P2PP/4QP1K/3R4 w - - 1 39,939
3Q4/8/5ppk/3p3p/3q1P2/4P1K1/8/8 w - - 0 53,99999
3r1bk1/pQ2nN2/6p1/3Pp3/4P1qr/4B1P1/PPP2R1P/4R1K1 w - - 1 26,875
4k2r/pp2p1bp/2p1Ppb1/6Np/2P5/4B1PP/PP6/R4RK1 w - - 0 21,443
8/6pk/4p3/7P/8/5qpK/8/8 b - - 1 51,3728
8/8/7p/1p4pP/p1p2kP1/PPP1p3/3rR1K1/8 b - - 0 57,1053
8/kp3R2/pr1p4/b2Pp3/7P/3Q4/P5B1/K2R4 w - - 0 44,1011
8/1P5p/4k1P1/8/2K2p2/8/8/8 b - - 0 60,-533
8/p5p1/2Qp2k1/5n2/2P5/P1B3p1/1P2q3/6K1 w - - 2 40,-482
1r6/pp6/nk1b3R/2p3B1/5PP1/4q2K/P7/8 w - - 1 52,-794
2r2rk1/pp1q2pb/2n4p/7P/4pp1N/2Q5/PPP3BK/8 b - - 3 29,1194
1r3rk1/Q4ppp/3qp3/2P1n3/1p1P4/4PB2/6PP/1R3RK1 w - - 1 22,592
3r1b1k/pp4pp/8/P1pn4/3pR1P1/7P/1PPB4/4R1K1 w - - 13 31,283
r2q1rk1/pb2bppp/5B2/3N1P2/8/5p2/PP4PP/R2Q1R1K b - - 1 24,748
2K5/p6p/6p1/1pk5/8/8/P5PP/5R2 w - - 0 48,536
6n1/2p4k/1p3p1p/4pP1P/p2b2P1/P1BP4/1r3PR1/4K3 b - - 1 39,500
2rr1k2/1p2Np2/p1bp3p/5P1p/2P5/1P1qR2P/P4QP1/5RK1 w - - 4 27,730
6k1/5p1p/1p2p1p1/8/2rr2P1/PR5P/5PK1/8 b - - 3 34,535
8/5p1k/1p4N1/8/2B3p1/8/2K5/8 b - - 5 58,57
8/5rB1/p2Kp1k1/4P2p/P6P/5b2/8/8 w - - 1 66,-487
1r4k1/2qB1pbp/p5p1/2p5/Q1P1p3/1R1P2P1/P2NPP1P/6K1 b - - 1 23,-320
3r2k1/8/p3r1p1/1p5p/7P/1Pq2R2/P1B2Q2/1K6 b - - 2 44,798
r2q1rk1/p5b1/5npp/2NPp2n/1P6/4B1PP/P4P2/R2QRBK1 w - - 3 23,465
2b3r1/ppp1r1k1/3pPp1p/3N1P1q/5Q2/1P6/P1P3PP/4RRK1 w - - 2 25,667
r3kb1r/1p1n1pp1/p1p1pn1p/3p2N1/2P5/1PNPB1Pb/1P2PP1P/R4RK1 b kq - 1 12,702
r4rk1/1p3pb1/n2p2p1/3PpbPp/p1P5/2Q1B2P/PP1NBPq1/2K3RR w - - 11 27,679
7k/p5p1/4p2p/2p5/3bP3/1P1K3P/P1R2r2/8 b - - 0 37,594
8/8/1p6/8/5P2/3qPQP1/3k4/3n2K1 b - - 4 50,342
8/6p1/6kp/8/1p1PP3/1r2N2P/5PK1/5R2 w - - 0 43,463
